DateStampTime,MarkLabel,A7,A69
2021-11-03 19:56:15,工况异常,-58,-65
2021-11-03 19:58:15,工况异常,90,71
2021-11-03 20:00:15,工况异常,-72,86
2021-11-03 20:02:16,工况异常,-45,96
2021-11-03 20:04:16,工况异常,73,98
2021-11-03 20:06:16,工况异常,14,-1
2021-11-03 20:08:16,工况异常,-15,34
2021-11-03 20:10:17,工况正常,-54,5
2021-11-03 20:12:17,工况正常,-4,26
2021-11-03 20:14:17,工况正常,-16,38
2021-11-03 20:16:17,工况正常,99,98
2021-11-03 20:18:18,工况正常,-53,-22
2021-11-03 20:20:18,工况正常,99,85
2021-11-03 20:22:18,工况正常,5,81
2021-11-03 20:24:19,工况正常,64,-34
2021-11-03 20:26:20,工况正常,67,-2
2021-11-03 20:29:42,工况正常,-34,-40
2021-11-03 20:30:25,工况正常,-15,74
